Sigla Latitude Longitude
ALAR -9.749 -36.653
BAIR -11.306 -41.859
BATF -17.555 -39.743
BAVC -14.888 -40.803
BELE -1.409 -48.463
BOAV 2.845 -60.701
BRAZ -15.947 -47.878
BRFT -3.877 -38.426
CEEU -3.878 -38.426
CEFE -20.311 -40.319
CEFT -3.711 -38.473
CHPI -22.687 -44.985
CUIB -15.555 -56.070
GOJA -17.883 -51.726
ILHA -20.428 -51.343
IMBT -28.235 -48.656
IMPZ -5.492 -47.497
MABA -5.362 -49.122
MGBH -19.942 -43.925
MGIN -22.319 -46.328
MGMC -16.716 -43.858
MGRP -19.210 -46.133
MGUB -18.919 -48.256
MSCG -20.441 -54.541
MTCN -13.556 -52.271
MTCO -10.804 -55.456
MTSF -11.619 -50.664
MTSR -12.545 -55.727
NAUS -3.023 -60.055
NEIA -25.020 -47.925
ONRJ -22.896 -43.224
PAIT -4.288 -56.036
PBCG -7.214 -35.907
PEPE -9.384 -40.506
PISR -9.031 -42.703
PITN -5.102 -42.793
POAL -30.074 -51.120
POLI -22.318 -44.327
POVE -8.709 -63.896
PPTE -22.120 -51.409
PRGU -25.384 -51.488
PRMA -23.410 -51.938
RIOB -9.965 -67.803
RIOD -22.818 -43.306
RJCG -21.765 -41.326
RNMO -5.204 -37.325
RNNA -5.836 -35.208
ROCD -13.122 -60.544
ROGM -10.784 -65.331
ROJI -10.864 -61.960
ROSA -22.523 -52.952
SAGA -0.144 -67.058
SALU -12.975 -38.516
SAVO -12.939 -38.432
SCCH -27.138 -52.600
SCLA -27.793 -50.304
SJRP -20.786 -49.360
SMAR -29.719 -53.717
SPAR -21.185 -50.440
SSA1 -12.975 -38.516
TOGU -11.747 -49.049
TOPL -10.171 -48.331
UFPR -25.448 -49.231
VICO -20.762 -42.870
3ARO -38.382 -60.274
25MA -37.772 -67.716
ABRA -22.722 -65.697
AGGO -34.874 -58.14
ALUM -27.323 -66.597
AUTF -54.84 -68.604
AZUL -36.767 -59.881
BATE -38.964 -61.912
BCAR -37.761 -58.301
BCH1 -41.147 -71.299
BOLS -41.964 -71.532
CAEP -25.957 -60.622
CFAG -31.602 -68.233
CHAC -27.42 -58.96
CHIM -39.164 -66.147
CHOY -34.898 -60.019
CORD -31.528 -64.47
CSJ1 -31.981 -68.427
CSLO -31.981 -68.427
DINO -30.163 -67.843
DORE -36.315 -57.681
EBY1 -27.369 -55.892
ECAR -50.336 -72.263
ESQU -42.917 -71.323
EPGZ -32.03 -61.225
EPSF -31.64 -60.672
FEDE -30.954 -58.783
FMAT -33.458 -61.487
FOSA -26.191 -58.171
GGUA -33.151 -59.314
GRCA -39.029 -67.577
GUAY -31.869 -59.026
GVIL -35.033 -63.014
JBAL -27.584 -65.623
JVCH -27.003 -64.682
JVCO -25.12 -64.125
IGM1 -34.572 -58.439
ITAI -25.421 -54.588
LARJ -29.415 -66.854
LHCL -38.003 -65.595
LMHS -37.024 -70.752
LROS -32.475 -61.578
LPGS -34.907 -57.932
MGLO -33.722 -62.247
MGNO -31.446 -64.347
MGUE -35.777 -69.398
MPL2 -38.006 -57.571
MZAC -32.895 -68.876
MZAE -33.255 -68.15
MZAL -32.721 -68.595
MZAR -33.195 -68.467
MZAU -33.736 -69.117
MZGA -34.978 -67.696
MZRF -34.612 -68.331
NESA -40.105 -64.454
NEQN -38.95 -68.06
NOYA -32.384 -59.795
OAFA -31.509 -68.623
OJOA -29.503 -63.694
ORAN -23.141 -64.325
PACO -29.714 -57.086
PATA -40.797 -62.989
PBCA -38.789 -62.272
PDE3 -47.757 -65.899
PEBA -33.946 -60.562
PEJ1 -35.806 -61.899
PELU -39.503 -62.683
PRNA -31.781 -60.469
PUMA -27.029 -62.705
PWRO -38.423 -69.211
PY01 -25.286 -57.642
RAF1 -31.247 -61.471
RCRO -29.274 -65.064
RDCM -30.949 -69.083
RECO -29.146 -59.664
RIO2 -53.758 -67.751
RIO4 -33.125 -64.349
RODE -30.209 -69.131
RSAL -29.789 -55.769
RSAU -37.384 -68.915
RSCL -28.142 -54.755
RUFI -34.263 -62.71
RWSN -43.299 -65.107
SAIS -36.23 -66.94
SAJA -30.575 -59.929
SANT -33.15 -70.669
SARM -45.586 -69.07
SBAL -30.309 -61.227
SICO -40.583 -67.759
SL01 -33.156 -66.314
SMAN -40.13 -71.226
SMDM -35.441 -58.804
SRLP -36.621 -64.28
STHA -24.846 -54.343
SUAR -37.458 -61.931
SUR1 -29.141 -62.655
SVIC -26.994 -54.488
TAVA -26.853 -65.71
TATU -25.804 -62.831
TERO -27.789 -64.257
TGTA -28.067 -67.566
TILC -23.577 -65.395
TOLH -54.488 -67.178
TOSF -23.232 -61.77
TRN1 -26.23 -65.282
TUC1 -26.833 -65.196
TUCU -26.843 -65.23
UCOR -31.435 -64.194
UNPA -51.648 -69.209
UNRO -32.959 -60.628
UNSA -24.727 -65.408
UNSJ -31.541 -68.577
UYBU -30.254 -57.603
UYCO -34.463 -57.835
UYAR -30.412 -56.491
UYPA -32.291 -58.067
UYRB -32.607 -53.405
UYRI -30.896 -55.559
UYSA -31.375 -57.96
UYSO -33.261 -58.014
UYTD -30.946 -57.525
VBCA -38.701 -62.269
VCON -33.228 -60.33
VCOP -37.796 -71.035
VIMA -32.42 -63.241
VIME -33.644 -65.448
YCBA -22.017 -63.68
YEMA -24.281 -61.237
ZPLA -38.906 -70.067
